timestamp,Accx,Accy,Accz
5360,-0.255,-0.044,0.673
5400,-0.293,0.082,0.67
5440,-0.309,0.243,0.653
5480,-0.39,0.373,0.633
5520,-0.542,0.494,0.79
5560,-0.464,0.459,1.208
5600,-0.296,0.171,1.33
5640,-0.34,-0.005,1.091
5680,-0.488,-0.054,0.85
5720,-0.555,-0.032,0.743
5760,-0.444,-0.275,0.892
5800,-0.143,-0.246,1.078
5840,-0.166,-0.324,0.979
5880,-0.257,-0.197,0.785
5920,-0.29,-0.126,0.646
5960,-0.279,0.002,0.557
6000,-0.294,0.069,0.556
6040,-0.341,0.194,0.618
6080,-0.317,0.212,0.665
6120,-0.354,0.354,0.743
6160,-0.365,0.423,0.881
6200,-0.316,0.485,1.008
6240,-0.366,0.469,1.024
6280,-0.366,0.478,1.122
6320,-0.246,0.368,1.192
6360,-0.186,0.313,1.193
6400,-0.082,0.232,1.158
6440,0.021,0.047,1.019
6480,0.06,0.023,0.965
6520,0.062,-0.022,0.867
6560,0.054,-0.083,0.866
6600,0.162,-0.085,0.89
6640,0.138,-0.152,0.939
6680,0.129,-0.099,1.003
6720,0.074,-0.093,1.059
6760,0.083,-0.113,1.151
6800,0.14,-0.1,1.2
6840,0.112,-0.048,1.254
6880,0.114,0.035,1.25
6920,0.102,0.162,1.215
6960,0.086,0.21,1.198
7000,0.09,0.232,1.185
7040,0.054,0.308,1.193
7080,0.081,0.403,1.162
7120,0.067,0.422,1.137
7160,0.059,0.491,1.067
7200,0.119,0.443,0.995
7240,0.08,0.451,0.885
7280,0.05,0.329,0.837
7320,0.172,0.239,0.927
7360,0.152,0.139,0.951
7400,0.134,-0.004,1.033
7440,0.096,-0.094,1.143
7480,0.096,-0.127,1.2
7520,0.04,-0.189,1.177
7560,0.015,-0.222,1.095
7600,-0.038,-0.265,1.006
7640,-0.048,-0.279,0.943
7680,-0.094,-0.229,0.82
7720,-0.134,-0.215,0.745
7760,-0.147,-0.169,0.683
7800,-0.182,-0.166,0.66
7840,-0.203,-0.056,0.656
7880,-0.286,0.135,0.665
7920,-0.303,0.256,0.715
7960,-0.436,0.479,0.893
8000,-0.48,0.575,1.034
8040,-0.469,0.439,1.044
8080,-0.389,0.105,0.955
8120,-0.363,-0.056,0.906
8160,-0.365,-0.234,0.89
8200,-0.337,-0.357,0.868
8240,-0.289,-0.296,0.833
8280,-0.235,-0.154,0.812
8320,-0.24,-0.112,0.772
8360,-0.27,-0.022,0.724
8400,-0.305,0.124,0.684
8440,-0.329,0.168,0.673
8480,-0.324,0.289,0.706
8520,-0.311,0.398,0.764
8560,-0.303,0.387,0.864
8600,-0.274,0.394,0.961
8640,-0.237,0.395,0.94
8680,-0.349,0.481,1.035
8720,-0.294,0.384,1.025
8760,-0.314,0.299,1.111
8800,-0.169,0.281,1.068
8840,-0.093,0.117,1.093
8880,0.073,0.033,1.075
8920,0.149,-0.095,1.001
8960,0.124,-0.064,0.936
9000,0.091,-0.104,0.933
9040,0.122,-0.131,0.987
9080,0.111,-0.171,1.054
9120,0.084,-0.114,1.136
9160,0.074,-0.1,1.182
9200,0.113,-0.048,1.227
9240,0.098,0.039,1.208
9280,0.099,0.155,1.167
9320,0.103,0.156,1.124
9360,0.094,0.268,1.129
9400,0.02,0.301,1.153
9440,0.041,0.371,1.147
9480,0.004,0.5,1.136
9520,-0.03,0.497,1.059
9560,0.064,0.417,1.061
9600,0.069,0.231,1.037
9640,0.033,0.254,1.074
9680,0.032,0.101,1.048
9720,0.019,-0.022,1.06
9760,0.066,-0.049,1.056
9800,0.035,-0.239,1.071
9840,0.022,-0.201,1.059
9880,0.013,-0.267,1.042
9920,-0.019,-0.317,0.982
9960,-0.067,-0.287,0.903
10000,-0.104,-0.292,0.825
10040,-0.132,-0.251,0.74
10080,-0.174,-0.228,0.692
10120,-0.19,-0.181,0.667
10160,-0.247,-0.006,0.618
10200,-0.304,0.097,0.625
10240,-0.266,0.189,0.616
10280,-0.357,0.278,0.644
10320,-0.475,0.481,0.8
10360,-0.603,0.571,1.161
10400,-0.49,0.444,1.263
10440,-0.477,0.193,1.156
10480,-0.383,-0.05,0.995
10520,-0.36,-0.137,0.856
10560,-0.462,-0.029,0.773
10600,-0.385,-0.185,0.955
10640,-0.169,-0.332,1.084
10680,-0.133,-0.323,1.029
10720,-0.179,-0.258,0.882
10760,-0.259,-0.109,0.716
10800,-0.318,0.003,0.636
10840,-0.316,0.068,0.636
10880,-0.302,0.121,0.68
10920,-0.269,0.213,0.718
10960,-0.202,0.227,0.73
11000,-0.249,0.356,0.78
11040,-0.31,0.318,0.87
11080,-0.285,0.394,0.987
11120,-0.34,0.48,1.033
11160,-0.375,0.432,1.06
11200,-0.346,0.402,1.054
11240,-0.236,0.252,1.051
11280,-0.084,0.155,1.043
11320,-0.021,0.062,0.971
11360,0.022,0.07,0.95
11400,0.096,0.011,0.968
11440,0.084,-0.058,0.951
11480,0.102,-0.086,1.017
11520,0.155,-0.109,1.115
11560,0.122,-0.086,1.171
11600,0.099,-0.049,1.234
11640,0.125,-0.025,1.286
11680,0.088,0.006,1.244
11720,0.066,0.152,1.226
11760,0.038,0.278,1.154
11800,0.009,0.275,1.099
11840,-0.001,0.329,1.086
11880,0.004,0.35,1.105
11920,0.021,0.376,1.088
11960,-0.02,0.486,1.042
12000,0.035,0.4,1.019
12040,0.105,0.405,0.992
12080,0.081,0.385,0.905
12120,0.128,0.23,0.901
12160,0.103,0.17,0.923
12200,0.055,0.02,0.978
12240,-0.002,-0.074,1.05
12280,-0.018,-0.192,1.134
12320,-0.05,-0.203,1.196
12360,0.019,-0.229,1.193
12400,-0.066,-0.28,1.109
12440,-0.055,-0.265,1.006
12480,-0.075,-0.342,0.894
12520,-0.083,-0.307,0.834
12560,-0.136,-0.294,0.751
12600,-0.115,-0.316,0.68
12640,-0.164,-0.202,0.665
12680,-0.228,-0.064,0.648
12720,-0.268,0.083,0.64
12760,-0.264,0.176,0.643
12800,-0.297,0.298,0.66
12840,-0.421,0.377,0.688
12880,-0.546,0.559,0.933
12920,-0.571,0.586,1.199
12960,-0.535,0.291,1.157
13000,-0.458,-0.015,1.063
13040,-0.29,-0.253,0.996
13080,-0.291,-0.25,0.892
13120,-0.435,-0.115,0.919
13160,-0.305,-0.262,1.056
13200,-0.214,-0.376,1.018
13240,-0.218,-0.323,0.874
13280,-0.264,-0.226,0.735
13320,-0.276,-0.125,0.638
13360,-0.269,0.001,0.585
13400,-0.29,0.051,0.612
13440,-0.273,0.182,0.624
