timestamp,Accx,Accy,Accz
7880,0.031,-0.138,0.586
7920,0.034,-0.007,0.589
7960,0.034,0.086,0.56
8000,0.029,0.176,0.555
8040,-0.017,0.412,0.614
8080,-0.35,0.759,1.03
8120,-0.367,1.018,1.661
8160,-0.246,0.318,1.451
8200,-0.157,-0.035,1.082
8240,-0.013,-0.19,0.733
8280,0.126,-0.157,0.75
8320,0.153,0.182,0.893
8360,-0.023,0.269,1.124
8400,-0.053,0.205,1.33
8440,-0.116,0.57,1.321
8480,-0.435,0.456,1.352
8520,-0.511,0.631,1.232
8560,-0.644,0.522,1.195
8600,-0.661,0.403,0.915
8640,-0.68,0.386,0.818
8680,-0.617,0.178,0.726
8720,-0.463,-0.07,0.604
8760,-0.395,-0.141,0.662
8800,-0.264,-0.308,0.605
8840,-0.197,-0.321,0.507
8880,-0.199,-0.295,0.54
8920,-0.158,-0.349,0.543
8960,-0.223,-0.251,0.463
9000,-0.277,-0.134,0.473
9040,-0.275,-0.092,0.504
9080,-0.28,-0.005,0.564
9120,-0.244,0.1,0.617
9160,-0.224,0.123,0.667
9200,-0.119,0.288,0.776
9240,-0.114,0.212,0.776
9280,-0.014,0.165,0.904
9320,0.037,0.269,1.052
9360,0.102,0.248,1.144
9400,0.075,0.353,1.325
9440,0.121,0.353,1.491
9480,0.136,0.257,1.662
9520,0.168,0.216,1.741
9560,0.195,0.012,1.731
9600,0.199,-0.134,1.583
9640,0.166,-0.293,1.37
9680,0.142,-0.427,1.193
9720,0.159,-0.388,1.125
9760,0.178,-0.367,0.99
9800,0.12,-0.327,0.867
9840,0.079,-0.277,0.766
9880,0.028,-0.177,0.66
9920,-0.004,-0.11,0.591
9960,0.016,-0.015,0.588
10000,0.068,0.067,0.552
10040,0.083,0.13,0.513
10080,0.031,0.336,0.58
10120,-0.031,0.53,1
10160,0.016,0.756,1.857
10200,0.004,0.382,1.793
10240,-0.099,-0.038,1.196
10280,-0.056,-0.138,0.854
10320,0.017,-0.106,0.674
10360,0.007,0.042,0.864
10400,0.116,0.203,1.197
10440,-0.005,0.147,1.359
10480,-0.207,0.254,1.412
10520,-0.322,0.274,1.465
10560,-0.412,0.256,1.362
10600,-0.436,0.241,1.205
10640,-0.398,0.222,1.04
10680,-0.389,0.058,0.956
10720,-0.304,-0.044,0.773
10760,-0.346,-0.08,0.728
10800,-0.285,-0.161,0.699
10840,-0.241,-0.27,0.58
10880,-0.222,-0.38,0.573
10920,-0.194,-0.431,0.586
10960,-0.224,-0.387,0.49
11000,-0.239,-0.306,0.494
11040,-0.266,-0.214,0.497
11080,-0.256,-0.09,0.464
11120,-0.259,0.121,0.461
11160,-0.153,0.161,0.535
11200,-0.11,0.26,0.609
11240,-0.159,0.307,0.719
11280,0.002,0.335,0.846
11320,-0.014,0.387,0.976
11360,0.022,0.432,1.121
11400,0.013,0.595,1.298
11440,0.035,0.669,1.421
11480,-0.021,0.542,1.528
11520,0.016,0.497,1.673
11560,0.043,0.312,1.676
11600,0.041,0.106,1.569
11640,0.068,-0.017,1.447
11680,0.121,-0.097,1.344
11720,0.161,-0.205,1.272
11760,0.175,-0.29,1.175
11800,0.173,-0.345,1.02
11840,0.103,-0.31,0.877
11880,0.017,-0.228,0.739
11920,-0.003,-0.182,0.664
11960,-0.019,-0.122,0.557
12000,-0.051,0.01,0.479
12040,-0.005,0.114,0.504
12080,0.068,0.195,0.556
12120,0.072,0.351,0.64
12160,-0.022,0.472,0.823
12200,-0.188,0.653,1.354
12240,-0.122,0.732,1.747
12280,-0.123,0.438,1.54
12320,-0.121,0.126,1.079
12360,-0.002,-0.1,0.794
12400,0.063,-0.199,0.774
12440,0.075,-0.039,0.987
12480,-0.126,0.211,1.359
12520,-0.225,0.262,1.541
12560,-0.374,0.282,1.453
12600,-0.453,0.146,1.333
12640,-0.436,0.232,1.215
12680,-0.433,0.366,0.973
12720,-0.432,0.25,0.797
12760,-0.406,0.213,0.614
12800,-0.42,0.145,0.531
12840,-0.363,0.034,0.566
12880,-0.317,-0.059,0.586
12920,-0.295,-0.178,0.536
12960,-0.233,-0.259,0.585
13000,-0.144,-0.27,0.51
13040,-0.152,-0.218,0.405
13080,-0.242,-0.191,0.397
13120,-0.256,-0.041,0.448
13160,-0.24,0.084,0.541
13200,-0.166,0.158,0.671
13240,-0.067,0.262,0.878
13280,0.029,0.217,0.948
13320,0.077,0.368,1.054
13360,0.046,0.412,1.178
13400,0.072,0.557,1.309
13440,0.059,0.591,1.484
13480,0.047,0.518,1.596
13520,0.096,0.267,1.627
13560,0.062,0.094,1.571
13600,0.05,-0.144,1.498
13640,0.079,-0.364,1.392
13680,0.13,-0.397,1.298
13720,0.147,-0.452,1.178
13760,0.132,-0.462,1.075
13800,0.111,-0.395,0.944
13840,0.068,-0.398,0.789
13880,-0.002,-0.327,0.648
13920,0.012,-0.309,0.528
13960,-0.017,-0.258,0.448
14000,0,-0.041,0.453
14040,0.054,-0.014,0.48
14080,0.11,0.131,0.583
14120,0.041,0.305,0.726
14160,-0.13,0.406,1.234
14200,-0.073,0.222,1.967
14240,-0.247,0.055,1.792
14280,-0.3,0.089,1.104
14320,-0.136,0.083,0.672
14360,-0.015,-0.002,0.656
14400,0.129,-0.102,0.984
14440,0.124,0.213,1.16
14480,-0.235,0.136,1.296
14520,-0.274,0.216,1.376
14560,-0.306,0.184,1.412
14600,-0.311,0.014,1.375
14640,-0.324,0.061,1.31
14680,-0.269,0.019,1.208
14720,-0.204,0.027,1.059
14760,-0.281,-0.005,0.92
14800,-0.295,-0.074,0.703
14840,-0.347,-0.143,0.613
14880,-0.313,-0.283,0.569
14920,-0.33,-0.355,0.498
14960,-0.303,-0.352,0.543
15000,-0.272,-0.385,0.487
15040,-0.238,-0.356,0.472
15080,-0.244,-0.232,0.492
15120,-0.243,-0.147,0.491
15160,-0.27,-0.016,0.483
15200,-0.267,0.042,0.533
15240,-0.22,0.08,0.659
15280,-0.152,0.221,0.75
15320,-0.093,0.244,0.838
15360,-0.026,0.274,0.956
15400,0.027,0.405,1.055
15440,-0.026,0.402,1.193
15480,0.069,0.473,1.313
15520,0.025,0.502,1.406
15560,0.055,0.471,1.485
15600,0.033,0.388,1.561
15640,0.063,0.126,1.601
15680,0.111,-0.04,1.564
15720,0.132,-0.16,1.529
15760,0.22,-0.354,1.391
15800,0.249,-0.361,1.25
15840,0.207,-0.339,1.024
15880,0.106,-0.32,0.891
15920,0.061,-0.26,0.79
15960,0.013,-0.25,0.698
16000,-0.016,-0.171,0.609
16040,-0.013,-0.097,0.551
16080,0.026,-0.051,0.548
16120,0.056,0.059,0.553
16160,0.07,0.133,0.579
16200,0.064,0.153,0.655
16240,-0.062,0.396,1.109
16280,-0.205,0.656,1.744
16320,-0.22,0.542,1.745
16360,-0.166,0.047,1.273
16400,-0.073,-0.022,0.814
16440,0.049,-0.014,0.744
16480,0.05,0.113,0.812
16520,0.034,0.077,0.937
16560,0.017,-0.008,0.991
16600,-0.079,0.134,1.151
16640,-0.098,0.166,1.243
16680,-0.159,0.19,1.308
16720,-0.212,0.241,1.359
16760,-0.277,0.227,1.336
16800,-0.344,0.26,1.313
16840,-0.336,0.2,1.3
16880,-0.286,0.174,1.138
16920,-0.365,0.135,0.917
16960,-0.372,0.075,0.763
17000,-0.317,-0.112,0.665
17040,-0.293,-0.234,0.586
17080,-0.326,-0.327,0.584
17120,-0.286,-0.37,0.579
17160,-0.258,-0.37,0.537
17200,-0.253,-0.394,0.43
17240,-0.287,-0.392,0.398
17280,-0.306,-0.207,0.365
17320,-0.33,-0.122,0.358
17360,-0.36,-0.047,0.426
17400,-0.287,0.046,0.544
17440,-0.17,0.209,0.65
17480,-0.137,0.18,0.733
17520,-0.016,0.32,0.865
17560,-0.042,0.384,1.004
17600,-0.044,0.424,1.228
17640,-0.011,0.47,1.346
17680,0.064,0.455,1.525
17720,0.029,0.431,1.585
17760,-0.002,0.302,1.651
17800,0.072,0.202,1.615
17840,0.038,-0.065,1.513
17880,0.082,-0.148,1.428
17920,0.127,-0.266,1.335
17960,0.174,-0.373,1.183
18000,0.168,-0.409,1.09
18040,0.09,-0.355,0.961
18080,0.057,-0.295,0.875
18120,-0.008,-0.288,0.776
18160,-0.085,-0.21,0.687
18200,-0.068,-0.188,0.622
18240,-0.088,-0.117,0.576
18280,-0.075,0.036,0.608
18320,-0.005,0.03,0.61
18360,0.033,0.172,0.679
18400,-0.006,0.344,0.759
18440,-0.135,0.394,1.196
18480,-0.193,0.59,1.584
18520,-0.232,0.345,1.43
18560,-0.22,0.14,1.097
18600,-0.098,0.063,0.953
18640,0.09,-0.008,0.897
18680,0.04,0.078,0.975
18720,-0.034,0.22,1.124
18760,-0.145,0.231,1.291
18800,-0.17,0.115,1.258
18840,-0.235,0.072,1.3
18880,-0.158,-0.061,1.334
18920,-0.178,-0.023,1.217
18960,-0.17,-0.078,1.14
19000,-0.193,-0.204,1.073
19040,-0.168,-0.17,0.975
19080,-0.176,-0.264,0.826
19120,-0.148,-0.315,0.792
19160,-0.184,-0.342,0.668
19200,-0.193,-0.326,0.587
19240,-0.181,-0.341,0.672
19280,-0.144,-0.335,0.554
19320,-0.255,-0.167,0.554
19360,-0.27,-0.052,0.563
19400,-0.2,-0.121,0.515
19440,-0.241,0.033,0.536
19480,-0.211,0.075,0.6
19520,-0.154,0.087,0.695
19560,-0.022,0.104,0.72
19600,-0.05,0.208,0.856
19640,0.003,0.3,0.984
19680,0.064,0.401,1.049
19720,0.008,0.335,1.226
19760,0.113,0.404,1.311
19800,0.052,0.399,1.497
19840,0.124,0.325,1.622
19880,0.18,0.092,1.624
19920,0.173,-0.026,1.555
19960,0.162,-0.135,1.477
20000,0.247,-0.251,1.362
20040,0.246,-0.281,1.211
20080,0.155,-0.291,1.062
20120,0.134,-0.261,0.908
20160,0.097,-0.243,0.745
20200,0.054,-0.302,0.623
20240,0.005,-0.318,0.544
20280,0.005,-0.281,0.564
20320,0.051,-0.2,0.587
20360,0.052,-0.047,0.627
20400,0.052,0.095,0.653
20440,0.049,0.249,0.868
20480,0.006,0.557,1.298
20520,-0.06,0.606,1.543
20560,-0.119,0.329,1.38
20600,-0.119,0.166,1.162
20640,-0.01,0.042,0.998
20680,0.039,0.044,0.919
20720,0.057,0.044,0.886
20760,0.093,0.082,0.981
20800,0.112,0.122,1.109
20840,-0.059,0.147,1.261
20880,-0.195,0.205,1.403
20920,-0.208,0.147,1.506
20960,-0.25,0.157,1.483
21000,-0.259,0.168,1.353
21040,-0.197,0.028,1.161
21080,-0.25,-0.045,0.927
21120,-0.321,-0.066,0.714
21160,-0.271,-0.128,0.673
21200,-0.25,-0.211,0.558
21240,-0.274,-0.278,0.527
21280,-0.254,-0.295,0.53
21320,-0.233,-0.332,0.516
21360,-0.245,-0.295,0.486
21400,-0.276,-0.199,0.484
21440,-0.263,-0.129,0.442
21480,-0.316,-0.032,0.445
21520,-0.297,0.072,0.532
21560,-0.199,0.081,0.64
21600,-0.05,0.238,0.796
21640,-0.035,0.308,0.847
21680,-0.066,0.388,0.986
21720,0.056,0.529,1.057
21760,-0.027,0.433,1.242
21800,0.112,0.544,1.329
21840,0.053,0.482,1.429
21880,0.072,0.459,1.511
21920,0.066,0.281,1.555
21960,0.101,0.064,1.584
22000,0.168,-0.047,1.536
22040,0.166,-0.195,1.423
22080,0.176,-0.294,1.295
22120,0.23,-0.307,1.195
22160,0.221,-0.398,1.072
22200,0.149,-0.333,0.901
22240,0.094,-0.253,0.803
22280,0.037,-0.285,0.68
22320,0.031,-0.178,0.613
22360,-0.004,-0.051,0.539
22400,-0.016,0.037,0.488
22440,-0.033,0.135,0.516
22480,-0.005,0.215,0.676
22520,-0.062,0.366,0.938
22560,-0.139,0.425,1.576
22600,-0.133,0.38,1.58
22640,-0.231,0.205,1.324
22680,-0.149,0.005,0.95
22720,-0.042,-0.044,0.851
22760,0.011,0.022,0.942
22800,0.023,-0.009,0.915
22840,-0.057,0.003,0.884
22880,-0.023,0.076,1.12
22920,-0.021,0.139,1.354
22960,-0.18,0.168,1.446
23000,-0.263,0.171,1.464
23040,-0.269,0.084,1.397
23080,-0.334,0.095,1.295
23120,-0.31,0.1,1.21
23160,-0.164,0.051,1.074
23200,-0.224,-0.049,0.864
23240,-0.263,-0.037,0.678
23280,-0.242,-0.219,0.629
23320,-0.203,-0.351,0.558
23360,-0.211,-0.341,0.578
23400,-0.157,-0.399,0.59
23440,-0.166,-0.427,0.546
23480,-0.219,-0.292,0.524
23520,-0.271,-0.2,0.53
23560,-0.254,-0.06,0.513
23600,-0.236,-0.033,0.516
23640,-0.174,0.032,0.586
23680,-0.151,0.161,0.683
23720,-0.029,0.189,0.785
23760,0.024,0.226,0.88
23800,0.096,0.306,0.98
23840,0.093,0.36,1.093
23880,0.17,0.402,1.19
23920,0.146,0.373,1.297
23960,0.25,0.403,1.422
24000,0.293,0.327,1.412
24040,0.248,0.192,1.499
24080,0.316,0.057,1.542
24120,0.365,-0.112,1.554
24160,0.364,-0.189,1.464
24200,0.382,-0.236,1.278
24240,0.364,-0.325,1.109
24280,0.32,-0.358,0.961
24320,0.223,-0.362,0.805
24360,0.169,-0.32,0.716
24400,0.139,-0.234,0.646
24440,0.133,-0.187,0.626
24480,0.183,-0.101,0.598
24520,0.17,0.005,0.594
24560,0.136,0.186,0.624
24600,0.032,0.485,0.933
24640,0.001,0.678,1.336
24680,-0.02,0.493,1.399
24720,-0.044,0.215,1.2
24760,0.07,-0.078,1.051
24800,0.161,-0.068,0.996
24840,0.129,0.103,0.951
24880,0.08,0.161,0.983
24920,0.098,0.142,1.106
24960,0.126,0.167,1.306
25000,-0.012,0.353,1.527
25040,-0.105,0.188,1.499
25080,-0.192,0.102,1.449
25120,-0.175,0.136,1.348
25160,-0.141,0.089,1.196
25200,-0.138,0.024,1.031
25240,-0.255,-0.068,0.856
25280,-0.188,-0.042,0.663
25320,-0.219,-0.119,0.59
25360,-0.158,-0.271,0.614
25400,-0.209,-0.353,0.549
25440,-0.301,-0.34,0.452
25480,-0.312,-0.377,0.392
