timestamp,Accx,Accy,Accz
7880,-0.44,-0.077,0.847
7920,-0.448,-0.08,0.902
7960,-0.451,-0.109,0.912
8000,-0.457,-0.116,0.944
8040,-0.411,-0.137,0.964
8080,-0.365,-0.126,0.948
8120,-0.413,-0.14,0.942
8160,-0.409,-0.119,0.966
8200,-0.355,-0.127,0.989
8240,-0.341,-0.131,0.944
8280,-0.352,-0.104,0.943
8320,-0.325,-0.097,0.912
8360,-0.337,-0.073,0.871
8400,-0.391,-0.108,0.847
8440,-0.383,-0.109,0.883
8480,-0.334,-0.078,0.953
8520,-0.347,-0.09,0.929
8560,-0.379,-0.104,0.915
8600,-0.358,-0.111,0.9
8640,-0.385,-0.129,0.903
8680,-0.382,-0.145,0.95
8720,-0.375,-0.159,0.968
8760,-0.357,-0.115,0.983
8800,-0.351,-0.083,1.013
8840,-0.35,-0.083,1.001
8880,-0.351,-0.05,1.028
8920,-0.356,-0.059,0.989
8960,-0.376,-0.05,0.936
9000,-0.391,-0.029,0.893
9040,-0.409,-0.029,0.858
9080,-0.428,-0.031,0.825
9120,-0.43,-0.038,0.817
9160,-0.428,-0.039,0.838
9200,-0.427,-0.051,0.846
9240,-0.44,-0.051,0.848
9280,-0.458,-0.054,0.846
9320,-0.463,-0.054,0.856
9360,-0.467,-0.063,0.844
9400,-0.486,-0.063,0.857
9440,-0.472,-0.074,0.856
9480,-0.463,-0.067,0.883
9520,-0.468,-0.088,0.879
9560,-0.477,-0.1,0.892
9600,-0.468,-0.097,0.902
9640,-0.471,-0.104,0.902
9680,-0.49,-0.094,0.879
9720,-0.5,-0.088,0.862
9760,-0.488,-0.108,0.84
9800,-0.489,-0.121,0.826
9840,-0.478,-0.119,0.842
9880,-0.466,-0.127,0.867
9920,-0.462,-0.119,0.875
9960,-0.478,-0.109,0.867
10000,-0.489,-0.102,0.852
10040,-0.499,-0.088,0.845
10080,-0.5,-0.089,0.83
10120,-0.501,-0.095,0.836
10160,-0.494,-0.113,0.857
10200,-0.477,-0.112,0.876
10240,-0.49,-0.112,0.878
10280,-0.501,-0.113,0.861
10320,-0.497,-0.125,0.827
10360,-0.497,-0.121,0.785
10400,-0.5,-0.088,0.79
10440,-0.482,-0.09,0.791
10480,-0.47,-0.107,0.796
10520,-0.467,-0.133,0.75
10560,-0.455,-0.181,0.771
10600,-0.42,-0.27,0.913
10640,-0.378,-0.305,1.056
10680,-0.381,-0.174,1.201
10720,-0.412,-0.039,1.286
10760,-0.4,0.012,1.259
10800,-0.349,0.118,1.046
10840,-0.375,0.104,0.766
10880,-0.418,0.289,0.609
10920,-0.405,0.419,0.719
10960,-0.372,0.5,0.931
11000,-0.523,0.641,1.108
11040,-0.577,0.469,1.127
11080,-0.421,0.067,1.004
11120,-0.323,-0.159,0.797
11160,-0.31,-0.36,0.679
11200,-0.192,-0.536,0.588
11240,-0.173,-0.465,0.582
11280,-0.256,-0.296,0.581
11320,-0.273,-0.24,0.547
11360,-0.251,-0.125,0.511
11400,-0.269,-0.104,0.522
11440,-0.263,-0.178,0.573
11480,-0.193,-0.062,0.684
11520,-0.223,-0.05,0.794
11560,-0.189,-0.127,0.849
11600,-0.158,0.003,1.166
11640,-0.075,0.154,1.541
11680,0.142,0.389,2.202
11720,0.183,0.226,1.957
11760,-0.061,0.005,1.259
11800,-0.082,-0.001,0.985
11840,0.029,-0.014,0.926
11880,0.043,-0.03,0.933
11920,0.022,-0.011,0.957
11960,0.029,-0.071,0.998
12000,0.029,-0.086,1.035
12040,0.007,-0.105,1.029
12080,-0.01,-0.098,1.034
12120,-0.024,-0.095,1.003
12160,-0.062,-0.081,0.977
12200,-0.079,-0.072,0.965
12240,-0.084,-0.088,0.961
12280,-0.091,-0.074,0.959
12320,-0.105,-0.055,0.971
12360,-0.131,-0.028,0.98
12400,-0.152,-0.024,1.015
12440,-0.154,-0.038,1.059
12480,-0.208,-0.088,1.103
12520,-0.234,-0.199,1.114
12560,-0.174,-0.209,1.11
12600,-0.097,-0.031,1.16
12640,-0.229,-0.034,1.109
12680,-0.281,-0.041,1.003
12720,-0.335,0.021,1.064
12760,-0.263,0.001,1.074
12800,-0.292,-0.008,1.045
12840,-0.422,0.044,0.88
12880,-0.361,0.118,0.864
12920,-0.267,0.196,0.688
12960,-0.369,0.286,0.539
13000,-0.388,0.496,0.55
13040,-0.334,0.535,0.633
13080,-0.426,0.494,0.699
13120,-0.573,0.344,0.757
13160,-0.505,0.102,0.779
13200,-0.361,-0.225,0.857
13240,-0.284,-0.414,0.874
13280,-0.197,-0.533,0.916
13320,-0.078,-0.525,0.746
13360,-0.084,-0.37,0.602
13400,-0.165,-0.251,0.545
13440,-0.149,-0.11,0.546
13480,-0.161,-0.177,0.577
13520,-0.171,-0.166,0.653
13560,-0.169,-0.123,0.705
13600,-0.167,-0.156,0.846
13640,-0.104,-0.106,1.048
13680,0.022,-0.018,1.439
13720,0.129,0.138,1.818
13760,0.133,0.401,2.071
13800,0.031,0.25,1.606
13840,-0.037,0.028,1.089
13880,-0.055,-0.158,0.762
13920,0.118,-0.23,0.975
13960,0.323,-0.007,1.301
14000,0.088,-0.028,1.156
14040,-0.043,-0.133,0.867
14080,0.029,-0.103,1.266
14120,0.163,-0.074,1.645
14160,-0.067,-0.288,1.532
14200,-0.222,-0.25,1.366
14240,-0.135,-0.125,1.294
14280,-0.108,-0.334,0.999
14320,-0.118,-0.246,0.767
14360,-0.11,-0.111,0.659
14400,-0.096,-0.191,0.485
14440,-0.112,-0.024,0.412
14480,-0.235,0.244,0.504
14520,-0.225,0.439,0.752
14560,-0.21,0.589,0.972
14600,-0.284,0.616,1.011
14640,-0.395,0.455,0.988
14680,-0.416,0.198,0.863
14720,-0.476,-0.037,0.745
14760,-0.414,-0.31,0.719
14800,-0.268,-0.393,0.738
14840,-0.199,-0.48,0.708
14880,-0.152,-0.484,0.685
14920,-0.127,-0.344,0.655
14960,-0.187,-0.174,0.624
15000,-0.218,-0.116,0.575
15040,-0.204,-0.107,0.612
15080,-0.168,-0.049,0.669
15120,-0.252,-0.11,0.748
15160,-0.211,-0.203,0.857
15200,-0.138,-0.177,0.951
15240,-0.186,-0.029,1.247
15280,-0.027,0.057,1.502
15320,0.264,0.251,2.028
15360,0.158,0.294,1.81
15400,-0.043,0.071,1.243
15440,-0.127,-0.109,0.84
15480,0.036,-0.19,0.939
15520,0.184,-0.092,1.083
15560,0.053,-0.074,1.024
15600,0.01,-0.13,0.918
15640,0.137,-0.137,1.015
15680,0.192,-0.132,1.141
15720,0.124,-0.123,1.409
15760,0.071,-0.16,1.503
15800,-0.082,-0.131,1.498
15840,-0.168,-0.132,1.383
15880,-0.202,-0.147,1.229
15920,-0.18,-0.089,1.029
15960,-0.187,-0.109,0.879
16000,-0.127,-0.194,0.67
16040,-0.09,-0.108,0.482
16080,-0.186,0.004,0.369
16120,-0.248,0.232,0.498
16160,-0.203,0.556,0.801
16200,-0.301,0.53,0.933
16240,-0.387,0.551,0.977
16280,-0.399,0.334,0.93
16320,-0.425,0.043,0.826
16360,-0.461,-0.106,0.75
16400,-0.289,-0.315,0.735
16440,-0.161,-0.42,0.771
16480,-0.055,-0.447,0.741
16520,-0.03,-0.4,0.69
16560,-0.06,-0.214,0.619
16600,-0.17,-0.089,0.587
16640,-0.199,-0.128,0.611
16680,-0.155,-0.14,0.699
16720,-0.191,-0.138,0.749
16760,-0.171,-0.1,0.965
16800,-0.109,-0.12,0.993
16840,-0.11,-0.107,1.196
16880,-0.035,0.072,1.558
16920,0.078,0.217,1.801
16960,0.035,0.135,1.604
17000,-0.064,0.212,1.282
17040,-0.101,0.16,1.038
17080,0.116,-0.077,0.904
17120,0.167,-0.14,0.939
17160,0.233,-0.133,1.101
17200,0.263,-0.103,1.076
17240,0.118,-0.051,0.995
17280,0.092,-0.071,1.147
17320,0.141,-0.068,1.505
17360,0.047,-0.237,1.576
17400,-0.116,-0.204,1.496
17440,-0.186,-0.185,1.294
17480,-0.155,-0.07,1.124
17520,-0.127,-0.064,0.96
17560,-0.139,-0.145,0.647
17600,-0.148,-0.161,0.488
17640,-0.076,-0.065,0.415
17680,-0.101,0.15,0.502
17720,-0.114,0.423,0.733
17760,-0.158,0.613,0.904
17800,-0.262,0.629,1.003
17840,-0.27,0.395,0.988
17880,-0.286,0.19,0.966
17920,-0.302,-0.098,0.943
17960,-0.201,-0.317,0.884
18000,-0.091,-0.361,0.863
18040,0.006,-0.383,0.803
18080,0.006,-0.39,0.667
18120,-0.034,-0.274,0.59
18160,-0.11,-0.169,0.581
18200,-0.155,-0.142,0.589
18240,-0.15,-0.064,0.628
18280,-0.194,-0.057,0.662
18320,-0.151,-0.071,0.801
18360,-0.089,-0.08,0.93
18400,0.012,-0.197,1.168
18440,0.125,-0.207,1.396
18480,0.27,0.048,1.71
18520,0.272,0.112,1.826
18560,0.238,0.107,1.552
18600,0.089,0.076,1.099
18640,0.038,-0.137,0.897
18680,0.258,-0.135,0.994
18720,0.287,-0.108,1.055
18760,0.187,-0.083,0.98
18800,0.166,-0.033,0.919
18840,0.193,-0.047,0.996
18880,0.229,-0.056,1.325
18920,0.203,0.005,1.602
18960,0.133,-0.095,1.565
19000,-0.033,-0.173,1.394
19040,-0.114,-0.163,1.245
19080,-0.157,-0.063,1.092
19120,-0.166,-0.083,0.921
19160,-0.214,-0.259,0.716
19200,-0.124,-0.165,0.57
19240,-0.126,-0.048,0.507
19280,-0.114,-0.023,0.496
19320,-0.109,0.162,0.642
19360,-0.144,0.495,0.781
19400,-0.238,0.477,0.902
19440,-0.281,0.43,0.962
19480,-0.342,0.287,1.038
19520,-0.381,0.084,1.039
19560,-0.333,-0.12,1.048
19600,-0.227,-0.243,0.963
19640,-0.1,-0.318,0.782
19680,-0.075,-0.326,0.649
19720,-0.041,-0.289,0.55
19760,-0.064,-0.252,0.51
19800,-0.096,-0.236,0.538
19840,-0.111,-0.159,0.609
19880,-0.12,-0.113,0.688
19920,-0.101,-0.143,0.746
19960,-0.091,-0.233,0.886
20000,-0.043,-0.154,0.974
20040,-0.014,-0.083,1.234
20080,0.121,-0.047,1.442
20120,0.249,0.146,1.727
20160,0.156,0.353,1.798
20200,0.075,0.322,1.48
20240,-0.003,0.176,1.06
20280,0.042,-0.007,0.909
20320,0.234,-0.115,1.085
20360,0.296,-0.149,1.422
20400,0.323,-0.176,1.433
20440,0.143,-0.25,1.342
20480,0.063,-0.198,1.265
20520,-0.043,0.029,1.247
20560,-0.115,-0.044,1.089
20600,-0.211,-0.182,0.878
20640,-0.324,-0.244,0.887
20680,-0.186,-0.318,0.81
20720,-0.147,-0.341,0.667
20760,-0.134,-0.225,0.609
20800,-0.052,-0.11,0.579
20840,-0.035,0.096,0.653
20880,-0.075,0.496,0.839
20920,-0.104,0.625,0.979
20960,-0.053,0.552,1.06
21000,-0.103,0.458,1.077
21040,-0.188,0.245,0.988
21080,-0.266,-0.001,0.95
21120,-0.142,-0.276,0.941
21160,-0.037,-0.449,0.885
21200,-0.075,-0.509,0.801
21240,-0.034,-0.452,0.687
21280,-0.104,-0.304,0.638
21320,-0.077,-0.2,0.686
21360,-0.045,-0.079,0.71
21400,-0.093,-0.014,0.743
21440,-0.091,-0.088,0.792
21480,-0.008,-0.121,0.888
21520,-0.013,-0.178,0.931
21560,0.03,-0.214,1.008
